programmeCourseId,studyYear,academicYear_programmeCourse,courseType,ConsistsOf,Includes
PC69,1,2019-2020,elective,1250,10001
PC70,1,2019-2020,elective,1246,10001
PC71,1,2019-2020,elective,1135,10001
PC72,1,2019-2020,elective,1099,10001
PC73,1,2020-2021,compulsory,1284,10001
PC74,1,2020-2021,compulsory,1239,10001
PC75,1,2020-2021,compulsory,1155,10001
PC76,1,2020-2021,compulsory,1130,10001
PC77,1,2020-2021,elective,1278,10001
PC78,1,2020-2021,elective,1204,10001
PC79,1,2020-2021,elective,1092,10001
PC80,1,2020-2021,elective,1060,10001
PC81,1,2021-2022,compulsory,1203,10001
PC82,1,2021-2022,compulsory,1086,10001
PC83,1,2021-2022,compulsory-elective,1180,10001
PC84,1,2021-2022,compulsory-elective,1167,10001
PC85,1,2021-2022,compulsory-elective,1136,10001
PC86,1,2021-2022,compulsory-elective,1048,10001
PC87,1,2021-2022,elective,1194,10001
PC88,1,2021-2022,elective,1079,10001
PC89,1,2021-2022,elective,1054,10001
PC90,1,2021-2022,elective,1043,10001
PC91,1,2021-2022,elective,1006,10001
PC92,1,2022-2023,compulsory,1263,10001
PC93,1,2022-2023,compulsory-elective,1282,10001
PC94,1,2022-2023,compulsory-elective,1170,10001
PC95,1,2022-2023,compulsory-elective,1098,10001
PC96,1,2022-2023,compulsory-elective,1005,10001
PC97,1,2022-2023,elective,1255,10001
PC98,1,2022-2023,elective,1222,10001
PC99,1,2022-2023,elective,1178,10001
PC100,1,2022-2023,elective,1088,10001
PC101,1,2022-2023,elective,1070,10001
PC102,1,2022-2023,elective,1067,10001
PC103,1,2023-2024,compulsory,1014,10001
PC104,1,2023-2024,compulsory-elective,1299,10001
PC105,1,2023-2024,compulsory-elective,1296,10001
PC106,1,2023-2024,compulsory-elective,1132,10001
PC107,1,2023-2024,compulsory-elective,1046,10001
PC108,1,2023-2024,compulsory-elective,1289,10001
PC109,1,2023-2024,compulsory-elective,1223,10001
PC110,1,2023-2024,compulsory-elective,1137,10001
PC111,1,2023-2024,compulsory-elective,1082,10001
PC112,2,2013-2014,compulsory,1265,10001
PC113,2,2013-2014,compulsory-elective,1213,10001
PC114,2,2013-2014,compulsory-elective,1085,10001
PC115,2,2013-2014,compulsory-elective,1075,10001
PC116,2,2013-2014,elective,1272,10001
PC117,2,2013-2014,elective,1139,10001
PC118,2,2013-2014,elective,1101,10001
PC119,2,2013-2014,elective,1098,10001
PC120,2,2013-2014,elective,1083,10001
PC121,2,2014-2015,compulsory,1185,10001
PC122,2,2014-2015,compulsory-elective,1271,10001
PC123,2,2014-2015,compulsory-elective,1258,10001
PC124,2,2014-2015,compulsory-elective,1073,10001
PC125,2,2014-2015,compulsory-elective,1065,10001
PC126,2,2014-2015,compulsory-elective,1218,10001
PC127,2,2014-2015,compulsory-elective,1208,10001
PC128,2,2014-2015,compulsory-elective,1100,10001
PC129,2,2014-2015,compulsory-elective,1090,10001
PC130,2,2015-2016,compulsory,1221,10001
PC131,2,2015-2016,compulsory,1073,10001
PC132,2,2015-2016,compulsory,1230,10001
PC133,2,2015-2016,compulsory,1208,10001
PC134,2,2015-2016,elective,1201,10001
PC135,2,2015-2016,elective,1199,10001
PC136,2,2015-2016,elective,1144,10001
PC137,2,2015-2016,elective,1086,10001
PC138,2,2015-2016,elective,1040,10001
PC139,2,2015-2016,elective,1011,10001
PC140,2,2016-2017,compulsory,1258,10001
PC141,2,2016-2017,compulsory-elective,1284,10001
PC142,2,2016-2017,compulsory-elective,1094,10001
PC143,2,2016-2017,compulsory-elective,1008,10001
PC144,2,2016-2017,elective,1250,10001
PC145,2,2016-2017,elective,1197,10001
PC146,2,2016-2017,elective,1176,10001
PC147,2,2016-2017,elective,1011,10001
PC148,2,2017-2018,compulsory,1240,10001
PC149,2,2017-2018,compulsory,1194,10001
PC150,2,2017-2018,compulsory-elective,1208,10001
PC151,2,2017-2018,compulsory-elective,1158,10001
PC152,2,2017-2018,compulsory-elective,1133,10001
PC153,2,2017-2018,compulsory-elective,1060,10001
PC154,2,2017-2018,elective,1257,10001
PC155,2,2017-2018,elective,1201,10001
PC156,2,2017-2018,elective,1169,10001
PC157,2,2017-2018,elective,1081,10001
PC158,2,2017-2018,elective,1066,10001
PC159,2,2017-2018,elective,1021,10001
PC160,2,2018-2019,compulsory,1276,10001
PC161,2,2018-2019,compulsory,1129,10001
PC162,2,2018-2019,compulsory-elective,1117,10001
PC163,2,2018-2019,compulsory-elective,1116,10001
PC164,2,2018-2019,compulsory-elective,1048,10001
PC165,2,2018-2019,elective,1248,10001
PC166,2,2018-2019,elective,1235,10001
PC167,2,2018-2019,elective,1204,10001
PC168,2,2018-2019,elective,1153,10001
PC169,2,2018-2019,elective,1076,10001
PC170,2,2019-2020,compulsory,1108,10001
PC171,2,2019-2020,compulsory-elective,1077,10001
PC172,2,2019-2020,compulsory-elective,1024,10001
PC173,2,2019-2020,compulsory-elective,1014,10001
PC174,2,2019-2020,elective,1234,10001
PC175,2,2019-2020,elective,1224,10001
PC176,2,2019-2020,elective,1202,10001
PC177,2,2019-2020,elective,1200,10001
PC178,2,2019-2020,elective,1025,10001
PC179,2,2020-2021,compulsory,1048,10001
PC180,2,2020-2021,compulsory-elective,1196,10001
PC181,2,2020-2021,compulsory-elective,1194,10001
PC182,2,2020-2021,compulsory-elective,1107,10001
PC183,2,2020-2021,compulsory-elective,1096,10001
PC184,2,2020-2021,elective,1258,10001
PC185,2,2020-2021,elective,1182,10001
PC186,2,2020-2021,elective,1158,10001
PC187,2,2020-2021,elective,1130,10001
PC188,2,2020-2021,elective,1064,10001
PC189,2,2021-2022,compulsory,1142,10001
PC190,2,2021-2022,compulsory-elective,1287,10001
PC191,2,2021-2022,compulsory-elective,1206,10001
PC192,2,2021-2022,elective,1236,10001
PC193,2,2021-2022,elective,1178,10001
PC194,2,2021-2022,elective,1029,10001
PC195,2,2021-2022,elective,1024,10001
PC196,2,2021-2022,elective,1007,10001
PC197,2,2022-2023,compulsory,1286,10001
PC198,2,2022-2023,compulsory,1187,10001
PC199,2,2022-2023,compulsory,1222,10001
PC200,2,2022-2023,compulsory,1040,10001
PC201,2,2022-2023,elective,1275,10001
PC202,2,2022-2023,elective,1210,10001
PC203,2,2022-2023,elective,1194,10001
PC204,2,2022-2023,elective,1191,10001
PC205,2,2022-2023,elective,1037,10001
PC206,2,2022-2023,elective,1017,10001
PC207,2,2023-2024,compulsory,1163,10001
PC208,2,2023-2024,compulsory,1146,10001
PC209,2,2023-2024,compulsory-elective,1035,10001
PC210,2,2023-2024,compulsory-elective,1010,10001
PC211,2,2023-2024,compulsory-elective,1011,10001
PC212,2,2023-2024,elective,1294,10001
PC213,2,2023-2024,elective,1283,10001
PC214,2,2023-2024,elective,1184,10001
PC215,2,2023-2024,elective,1180,10001
PC216,3,2013-2014,compulsory,1236,10001
PC217,3,2013-2014,compulsory,1093,10001
PC218,3,2013-2014,compulsory-elective,1255,10001
PC219,3,2013-2014,compulsory-elective,1235,10001
PC220,3,2013-2014,compulsory-elective,1140,10001
PC221,3,2013-2014,elective,1266,10001
PC222,3,2013-2014,elective,1160,10001
PC223,3,2013-2014,elective,1135,10001
PC224,3,2013-2014,elective,1100,10001
PC225,3,2013-2014,elective,1037,10001
PC226,3,2013-2014,elective,1034,10001
PC227,3,2014-2015,compulsory,1255,10001
PC228,3,2014-2015,compulsory-elective,1033,10001
PC229,3,2014-2015,compulsory-elective,1023,10001
PC230,3,2014-2015,elective,1220,10001
PC231,3,2014-2015,elective,1149,10001
PC232,3,2014-2015,elective,1098,10001
PC233,3,2014-2015,elective,1076,10001
PC234,3,2014-2015,elective,1032,10001
PC235,3,2015-2016,compulsory,1168,10001
PC236,3,2015-2016,compulsory-elective,1149,10001
PC237,3,2015-2016,compulsory-elective,1146,10001
PC238,3,2015-2016,compulsory-elective,1103,10001
PC239,3,2015-2016,compulsory-elective,1008,10001
PC240,3,2015-2016,elective,1233,10001
PC241,3,2015-2016,elective,1205,10001
PC242,3,2015-2016,elective,1190,10001
PC243,3,2015-2016,elective,1067,10001
PC244,3,2015-2016,elective,1049,10001
PC245,3,2015-2016,elective,1009,10001
PC246,3,2016-2017,compulsory,1128,10001
PC247,3,2016-2017,compulsory-elective,1222,10001
PC248,3,2016-2017,compulsory-elective,1122,10001
PC249,3,2016-2017,compulsory-elective,1120,10001
PC250,3,2016-2017,elective,1273,10001
PC251,3,2016-2017,elective,1182,10001
PC252,3,2016-2017,elective,1150,10001
PC253,3,2016-2017,elective,1052,10001
PC254,3,2017-2018,compulsory,1248,10001
PC255,3,2017-2018,compulsory,1221,10001
PC256,3,2017-2018,compulsory,1048,10001
PC257,3,2017-2018,compulsory,1025,10001
PC258,3,2017-2018,elective,1238,10001
PC259,3,2017-2018,elective,1211,10001
PC260,3,2017-2018,elective,1117,10001
PC261,3,2017-2018,elective,1072,10001
PC262,3,2018-2019,compulsory,1013,10001
PC263,3,2018-2019,compulsory-elective,1273,10001
PC264,3,2018-2019,compulsory-elective,1230,10001
PC265,3,2018-2019,compulsory-elective,1079,10001
PC266,3,2018-2019,elective,1237,10001
PC267,3,2018-2019,elective,1205,10001
PC268,3,2018-2019,elective,1197,10001
PC269,3,2018-2019,elective,1185,10001
PC270,3,2018-2019,elective,1058,10001
PC271,3,2018-2019,elective,1043,10001
PC272,3,2019-2020,compulsory,1049,10001
PC273,3,2019-2020,compulsory-elective,1205,10001
PC274,3,2019-2020,compulsory-elective,1152,10001
PC275,3,2019-2020,compulsory-elective,1055,10001
PC276,3,2019-2020,elective,1292,10001
PC277,3,2019-2020,elective,1189,10001
PC278,3,2019-2020,elective,1170,10001
PC279,3,2019-2020,elective,1118,10001
PC280,3,2019-2020,elective,1090,10001
PC281,3,2019-2020,elective,1073,10001
PC282,3,2020-2021,compulsory,1077,10001
PC283,3,2020-2021,compulsory-elective,1213,10001
PC284,3,2020-2021,compulsory-elective,1199,10001
PC285,3,2020-2021,compulsory-elective,1049,10001
PC286,3,2020-2021,elective,1222,10001
PC287,3,2020-2021,elective,1192,10001
PC288,3,2020-2021,elective,1164,10001
PC289,3,2020-2021,elective,1113,10001
PC290,3,2020-2021,elective,1031,10001
PC291,3,2021-2022,compulsory,1276,10001
PC292,3,2021-2022,compulsory-elective,1207,10001
PC293,3,2021-2022,compulsory-elective,1118,10001
PC294,3,2021-2022,elective,1217,10001
PC295,3,2021-2022,elective,1162,10001
PC296,3,2021-2022,elective,1072,10001
PC297,3,2021-2022,elective,1064,10001
PC298,3,2022-2023,compulsory,1184,10001
PC299,3,2022-2023,compulsory-elective,1218,10001
PC300,3,2022-2023,compulsory-elective,1066,10001
PC301,3,2022-2023,elective,1272,10001
PC302,3,2022-2023,elective,1190,10001
PC303,3,2022-2023,elective,1131,10001
PC304,3,2022-2023,elective,1125,10001
PC305,3,2022-2023,elective,1046,10001
PC306,3,2023-2024,compulsory,1070,10001
PC307,3,2023-2024,compulsory,1009,10001
PC308,3,2023-2024,compulsory-elective,1290,10001
PC309,3,2023-2024,compulsory-elective,1173,10001
PC310,3,2023-2024,compulsory-elective,1004,10001
PC311,3,2023-2024,elective,1296,10001
PC312,3,2023-2024,elective,1240,10001
PC313,3,2023-2024,elective,1160,10001
PC314,3,2023-2024,elective,1158,10001
PC315,3,2023-2024,elective,1115,10001
PC316,3,2023-2024,elective,1022,10001
PC317,1,2013-2014,compulsory,1162,10011
PC318,1,2013-2014,compulsory-elective,1240,10011
PC319,1,2013-2014,compulsory-elective,1101,10011
PC320,1,2013-2014,compulsory-elective,1093,10011
PC321,1,2013-2014,elective,1262,10011
PC322,1,2013-2014,elective,1208,10011
PC323,1,2013-2014,elective,1199,10011
PC324,1,2013-2014,elective,1083,10011
PC325,1,2014-2015,compulsory,1121,10011
PC326,1,2014-2015,compulsory-elective,1211,10011
PC327,1,2014-2015,compulsory-elective,1171,10011
PC328,1,2014-2015,elective,1267,10011
PC329,1,2014-2015,elective,1263,10011
PC330,1,2014-2015,elective,1160,10011
PC331,1,2014-2015,elective,1108,10011
PC332,1,2014-2015,elective,1087,10011
PC333,1,2014-2015,elective,1083,10011
PC334,1,2015-2016,compulsory,1178,10011
PC335,1,2015-2016,compulsory-elective,1218,10011
PC336,1,2015-2016,compulsory-elective,1200,10011
PC337,1,2015-2016,compulsory-elective,1107,10011
PC338,1,2015-2016,compulsory-elective,1047,10011
PC339,1,2015-2016,compulsory-elective,1293,10011
PC340,1,2015-2016,compulsory-elective,1263,10011
PC341,1,2015-2016,compulsory-elective,1262,10011
PC342,1,2015-2016,compulsory-elective,1106,10011
PC343,1,2016-2017,compulsory,1291,10011
PC344,1,2016-2017,compulsory,1028,10011
PC345,1,2016-2017,compulsory-elective,1265,10011
PC346,1,2016-2017,compulsory-elective,1224,10011
PC347,1,2016-2017,compulsory-elective,1209,10011
PC348,1,2016-2017,compulsory-elective,1059,10011
PC349,1,2016-2017,compulsory-elective,1283,10011
PC350,1,2016-2017,compulsory-elective,1258,10011
PC351,1,2016-2017,compulsory-elective,1115,10011
PC352,1,2016-2017,compulsory-elective,1031,10011
PC353,1,2017-2018,compulsory,1295,10011
PC354,1,2017-2018,compulsory,1031,10011
PC355,1,2017-2018,compulsory-elective,1297,10011
PC356,1,2017-2018,compulsory-elective,1271,10011
PC357,1,2017-2018,compulsory-elective,1084,10011
PC358,1,2017-2018,elective,1253,10011
PC359,1,2017-2018,elective,1166,10011
PC360,1,2017-2018,elective,1155,10011
PC361,1,2017-2018,elective,1088,10011
PC362,1,2017-2018,elective,1077,10011
PC363,1,2018-2019,compulsory,1104,10011
PC364,1,2018-2019,compulsory,1040,10011
PC365,1,2018-2019,compulsory-elective,1256,10011
PC366,1,2018-2019,compulsory-elective,1233,10011
PC367,1,2018-2019,compulsory-elective,1184,10011
PC368,1,2018-2019,elective,1253,10011
PC369,1,2018-2019,elective,1189,10011
PC370,1,2018-2019,elective,1092,10011
PC371,1,2018-2019,elective,1015,10011
PC372,1,2018-2019,elective,1006,10011
PC373,1,2019-2020,compulsory,1224,10011
PC374,1,2019-2020,compulsory,1193,10011
PC375,1,2019-2020,compulsory,1142,10011
PC376,1,2019-2020,compulsory,1022,10011
PC377,1,2019-2020,elective,1289,10011
PC378,1,2019-2020,elective,1274,10011
PC379,1,2019-2020,elective,1152,10011
PC380,1,2019-2020,elective,1145,10011
PC381,1,2019-2020,elective,1136,10011
PC382,1,2019-2020,elective,1127,10011
PC383,1,2020-2021,compulsory,1218,10011
PC384,1,2020-2021,compulsory,1186,10011
PC385,1,2020-2021,compulsory-elective,1228,10011
PC386,1,2020-2021,compulsory-elective,1151,10011
PC387,1,2020-2021,compulsory-elective,1109,10011
PC388,1,2020-2021,compulsory-elective,1094,10011
PC389,1,2020-2021,elective,1264,10011
PC390,1,2020-2021,elective,1137,10011
PC391,1,2020-2021,elective,1105,10011
PC392,1,2020-2021,elective,1063,10011
PC393,1,2020-2021,elective,1047,10011
PC394,1,2020-2021,elective,1045,10011
PC395,1,2021-2022,compulsory,1224,10011
PC396,1,2021-2022,compulsory,1055,10011
PC397,1,2021-2022,compulsory-elective,1236,10011
PC398,1,2021-2022,compulsory-elective,1166,10011
PC399,1,2021-2022,compulsory-elective,1047,10011
PC400,1,2021-2022,elective,1249,10011
PC401,1,2021-2022,elective,1149,10011
PC402,1,2021-2022,elective,1073,10011
PC403,1,2021-2022,elective,1045,10011
PC404,1,2022-2023,compulsory,1110,10011
PC405,1,2022-2023,compulsory-elective,1251,10011
PC406,1,2022-2023,compulsory-elective,1234,10011
PC407,1,2022-2023,compulsory-elective,1102,10011
PC408,1,2022-2023,compulsory-elective,1049,10011
PC409,1,2022-2023,elective,1242,10011
PC410,1,2022-2023,elective,1116,10011
PC411,1,2022-2023,elective,1087,10011
PC412,1,2022-2023,elective,1070,10011
PC413,1,2022-2023,elective,1069,10011
PC414,1,2023-2024,compulsory,1257,10011
PC415,1,2023-2024,compulsory,1232,10011
PC416,1,2023-2024,compulsory,1114,10011
PC417,1,2023-2024,compulsory,1076,10011
PC418,1,2023-2024,elective,1278,10011
PC419,1,2023-2024,elective,1261,10011
PC420,1,2023-2024,elective,1127,10011
PC421,1,2023-2024,elective,1126,10011
PC422,1,2023-2024,elective,1099,10011
PC423,2,2013-2014,compulsory,1236,10011
PC424,2,2013-2014,compulsory-elective,1233,10011
PC425,2,2013-2014,compulsory-elective,1183,10011
PC426,2,2013-2014,compulsory-elective,1112,10011
PC427,2,2013-2014,compulsory-elective,1083,10011
PC428,2,2013-2014,elective,1296,10011
PC429,2,2013-2014,elective,1248,10011
PC430,2,2013-2014,elective,1149,10011
PC431,2,2013-2014,elective,1066,10011
PC432,2,2013-2014,elective,1035,10011
PC433,2,2014-2015,compulsory,1155,10011
PC434,2,2014-2015,compulsory,1100,10011
PC435,2,2014-2015,compulsory,1050,10011
PC436,2,2014-2015,compulsory,1044,10011
PC437,2,2014-2015,elective,1288,10011
PC438,2,2014-2015,elective,1257,10011
PC439,2,2014-2015,elective,1113,10011
PC440,2,2014-2015,elective,1009,10011
PC441,2,2015-2016,compulsory,1269,10011
PC442,2,2015-2016,compulsory,1138,10011
PC443,2,2015-2016,compulsory,1251,10011
PC444,2,2015-2016,compulsory,1242,10011
PC445,2,2015-2016,elective,1293,10011
PC446,2,2015-2016,elective,1248,10011
PC447,2,2015-2016,elective,1198,10011
PC448,2,2015-2016,elective,1170,10011
PC449,2,2015-2016,elective,1143,10011
PC450,2,2015-2016,elective,1121,10011
PC451,2,2016-2017,compulsory,1131,10011
PC452,2,2016-2017,compulsory-elective,1294,10011
PC453,2,2016-2017,compulsory-elective,1218,10011
PC454,2,2016-2017,compulsory-elective,1138,10011
PC455,2,2016-2017,compulsory-elective,1080,10011
PC456,2,2016-2017,compulsory-elective,1281,10011
PC457,2,2016-2017,compulsory-elective,1247,10011
PC458,2,2016-2017,compulsory-elective,1146,10011
PC459,2,2016-2017,compulsory-elective,1119,10011
PC460,2,2017-2018,compulsory,1240,10011
PC461,2,2017-2018,compulsory,1192,10011
PC462,2,2017-2018,compulsory-elective,1252,10011
PC463,2,2017-2018,compulsory-elective,1230,10011
PC464,2,2017-2018,compulsory-elective,1221,10011
PC465,2,2017-2018,compulsory-elective,1010,10011
PC466,2,2017-2018,elective,1284,10011
PC467,2,2017-2018,elective,1203,10011
PC468,2,2017-2018,elective,1170,10011
PC469,2,2017-2018,elective,1145,10011
PC470,2,2017-2018,elective,1131,10011
PC471,2,2017-2018,elective,1046,10011
PC472,2,2018-2019,compulsory,1185,10011
PC473,2,2018-2019,compulsory-elective,1090,10011
PC474,2,2018-2019,compulsory-elective,1082,10011
PC475,2,2018-2019,elective,1290,10011
PC476,2,2018-2019,elective,1291,10011
PC477,2,2018-2019,elective,1267,10011
PC478,2,2018-2019,elective,1182,10011
PC479,2,2018-2019,elective,1044,10011
PC480,2,2018-2019,elective,1030,10011
PC481,2,2019-2020,compulsory,1236,10011
PC482,2,2019-2020,compulsory,1062,10011
PC483,2,2019-2020,compulsory-elective,1260,10011
PC484,2,2019-2020,compulsory-elective,1168,10011
PC485,2,2019-2020,compulsory-elective,1089,10011
PC486,2,2019-2020,compulsory-elective,1080,10011
PC487,2,2019-2020,elective,1299,10011
PC488,2,2019-2020,elective,1291,10011
PC489,2,2019-2020,elective,1286,10011
PC490,2,2019-2020,elective,1156,10011
PC491,2,2019-2020,elective,1144,10011
PC492,2,2019-2020,elective,1015,10011
PC493,2,2020-2021,compulsory,1218,10011
PC494,2,2020-2021,compulsory,1135,10011
PC495,2,2020-2021,compulsory,1240,10011
PC496,2,2020-2021,compulsory,1089,10011
PC497,2,2020-2021,elective,1285,10011
PC498,2,2020-2021,elective,1264,10011
PC499,2,2020-2021,elective,1217,10011
PC500,2,2020-2021,elective,1199,10011
PC501,2,2020-2021,elective,1167,10011
PC502,2,2020-2021,elective,1057,10011
PC503,2,2021-2022,compulsory,1210,10011
PC504,2,2021-2022,compulsory-elective,1296,10011
PC505,2,2021-2022,compulsory-elective,1282,10011
PC506,2,2021-2022,compulsory-elective,1175,10011
PC507,2,2021-2022,compulsory-elective,1118,10011
PC508,2,2021-2022,elective,1278,10011
PC509,2,2021-2022,elective,1133,10011
PC510,2,2021-2022,elective,1098,10011
PC511,2,2021-2022,elective,1081,10011
PC512,2,2021-2022,elective,1057,10011
PC513,2,2022-2023,compulsory,1242,10011
PC514,2,2022-2023,compulsory,1167,10011
PC515,2,2022-2023,compulsory,1202,10011
PC516,2,2022-2023,compulsory,1148,10011
PC517,2,2022-2023,elective,1239,10011
PC518,2,2022-2023,elective,1122,10011
PC519,2,2022-2023,elective,1060,10011
PC520,2,2022-2023,elective,1022,10011
PC521,2,2022-2023,elective,1020,10011
PC522,2,2023-2024,compulsory,1222,10011
PC523,2,2023-2024,compulsory-elective,1251,10011
PC524,2,2023-2024,compulsory-elective,1191,10011
PC525,2,2023-2024,compulsory-elective,1022,10011
PC526,2,2023-2024,elective,1188,10011
PC527,2,2023-2024,elective,1155,10011
PC528,2,2023-2024,elective,1048,10011
PC529,2,2023-2024,elective,1004,10011
PC530,3,2013-2014,compulsory,1203,10011
PC531,3,2013-2014,compulsory,1174,10011
PC532,3,2013-2014,compulsory-elective,1268,10011
PC533,3,2013-2014,compulsory-elective,1176,10011
PC534,3,2013-2014,compulsory-elective,1046,10011
PC535,3,2013-2014,elective,1291,10011
PC536,3,2013-2014,elective,1081,10011
PC537,3,2013-2014,elective,1060,10011
PC538,3,2013-2014,elective,1042,10011
PC539,3,2014-2015,compulsory,1164,10011
PC540,3,2014-2015,compulsory-elective,1234,10011
PC541,3,2014-2015,compulsory-elective,1112,10011
PC542,3,2014-2015,compulsory-elective,1045,10011
PC543,3,2014-2015,elective,1272,10011
PC544,3,2014-2015,elective,1206,10011
PC545,3,2014-2015,elective,1152,10011
PC546,3,2014-2015,elective,1090,10011
PC547,3,2014-2015,elective,1014,10011
PC548,3,2015-2016,compulsory,1263,10011
PC549,3,2015-2016,compulsory,1037,10011
PC550,3,2015-2016,compulsory-elective,1081,10011
PC551,3,2015-2016,compulsory-elective,1080,10011
PC552,3,2015-2016,compulsory-elective,1067,10011
PC553,3,2015-2016,compulsory-elective,1012,10011
PC554,3,2015-2016,elective,1191,10011
PC555,3,2015-2016,elective,1103,10011
PC556,3,2015-2016,elective,1055,10011
PC557,3,2015-2016,elective,1051,10011
PC558,3,2015-2016,elective,1044,10011
PC559,3,2016-2017,compulsory,1243,10011
PC560,3,2016-2017,compulsory-elective,1273,10011
PC561,3,2016-2017,compulsory-elective,1211,10011
PC562,3,2016-2017,compulsory-elective,1172,10011
PC563,3,2016-2017,compulsory-elective,1134,10011
PC564,3,2016-2017,elective,1281,10011
PC565,3,2016-2017,elective,1269,10011
PC566,3,2016-2017,elective,1173,10011
PC567,3,2016-2017,elective,1168,10011
PC568,3,2016-2017,elective,1152,10011
PC569,3,2016-2017,elective,1078,10011
PC570,3,2017-2018,compulsory,1239,10011
PC571,3,2017-2018,compulsory,1228,10011
PC572,3,2017-2018,compulsory-elective,1184,10011
PC573,3,2017-2018,compulsory-elective,1130,10011
PC574,3,2017-2018,compulsory-elective,1112,10011
PC575,3,2017-2018,compulsory-elective,1028,10011
PC576,3,2017-2018,elective,1280,10011
PC577,3,2017-2018,elective,1260,10011
PC578,3,2017-2018,elective,1234,10011
PC579,3,2017-2018,elective,1172,10011
PC580,3,2017-2018,elective,1024,10011
PC581,3,2018-2019,compulsory,1136,10011
PC582,3,2018-2019,compulsory,1127,10011
PC583,3,2018-2019,compulsory-elective,1230,10011
PC584,3,2018-2019,compulsory-elective,1112,10011
PC585,3,2018-2019,compulsory-elective,1034,10011
PC586,3,2018-2019,elective,1271,10011
PC587,3,2018-2019,elective,1195,10011
PC588,3,2018-2019,elective,1179,10011
PC589,3,2018-2019,elective,1174,10011
PC590,3,2018-2019,elective,1092,10011
PC591,3,2019-2020,compulsory,1264,10011
PC592,3,2019-2020,compulsory,1229,10011
PC593,3,2019-2020,compulsory-elective,1261,10011
PC594,3,2019-2020,compulsory-elective,1233,10011
PC595,3,2019-2020,compulsory-elective,1225,10011
PC596,3,2019-2020,compulsory-elective,1033,10011
PC597,3,2019-2020,elective,1223,10011
PC598,3,2019-2020,elective,1078,10011
PC599,3,2019-2020,elective,1050,10011
PC600,3,2019-2020,elective,1036,10011
PC601,3,2019-2020,elective,1014,10011
PC602,3,2020-2021,compulsory,1275,10011
PC603,3,2020-2021,compulsory-elective,1178,10011
PC604,3,2020-2021,compulsory-elective,1083,10011
PC605,3,2020-2021,compulsory-elective,1014,10011
PC606,3,2020-2021,elective,1256,10011
